,date,symbol,open,close,low,high,volume,eps,pe,yield1,yield3,yield6,yield12,ma50,ma200,ma300,rec,term,gain,symid
10,2013-12-31,ABT,38.380001,38.330002,38.220001,38.57,4594200.0,1.64,23.37195243902439,2.1316360813119246,14.417916417910464,8.246263767297378,14.967012597480506,37.747999885714286,35.961510669064744,36.055454425837326,0,6,0.2,1
11,2013-12-31,ABT,38.380001,38.330002,38.220001,38.57,4594200.0,1.64,23.37195243902439,2.1316360813119246,14.417916417910464,8.246263767297378,14.967012597480506,37.747999885714286,35.961510669064744,36.055454425837326,1,12,0.2,1
12,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,3,0.05,4
13,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,6,0.05,4
14,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,12,0.05,4
15,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,3,0.1,4
16,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,6,0.1,4
17,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,12,0.1,4
18,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,3,0.15,4
19,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,6,0.15,4
20,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,12,0.15,4
21,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,3,0.2,4
22,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,6,0.2,4
23,2013-12-31,ATVI,17.799999,17.83,17.719998999999994,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,1,12,0.2,4
24,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,3,0.05,2
25,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,6,0.05,2
26,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,12,0.05,2
27,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,0,3,0.1,2
28,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,6,0.1,2
29,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,12,0.1,2
30,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,0,3,0.15,2
31,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,0,6,0.15,2
32,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,12,0.15,2
33,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,0,3,0.2,2
34,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,0,6,0.2,2
35,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325223,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,1,12,0.2,2
36,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,1,3,0.05,1
37,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,1,6,0.05,1
38,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,1,12,0.05,1
39,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,0,3,0.1,1
40,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,0,6,0.1,1
41,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,1,12,0.1,1
42,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,0,3,0.15,1
43,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,0,6,0.15,1
44,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,1,12,0.15,1
45,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,0,3,0.2,1
46,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,0,6,0.2,1
47,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.81339689872141,10.046050083704626,14.667066586682635,37.76588214705882,35.97172648920862,36.08230757211539,1,12,0.2,1
48,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,3,0.05,4
49,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,6,0.05,4
50,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,12,0.05,4
51,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,3,0.1,4
52,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,6,0.1,4
53,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,12,0.1,4
54,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,3,0.15,4
55,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,6,0.15,4
56,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,12,0.15,4
57,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,0,3,0.2,4
58,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,6,0.2,4
59,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982454,4.450873089645854,10.38484359286231,21.356615177971772,61.62790697674418,17.379117617647065,16.668776971223018,16.017740379807698,1,12,0.2,4
60,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,0,3,0.05,2
61,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,1,6,0.05,2
62,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,1,12,0.05,2
63,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,0,3,0.1,2
64,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,1,6,0.1,2
65,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,1,12,0.1,2
66,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,0,3,0.15,2
67,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,0,6,0.15,2
68,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,1,12,0.15,2
69,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,0,3,0.2,2
70,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,0,6,0.2,2
71,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.10726258255524,55.146842336008405,50.8829408235294,46.5171428,45.324038384615385,1,12,0.2,2
72,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,3,0.05,1
73,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,1,6,0.05,1
74,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,1,12,0.05,1
75,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,3,0.1,1
76,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,6,0.1,1
77,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,1,12,0.1,1
78,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,3,0.15,1
79,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,6,0.15,1
80,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,1,12,0.15,1
81,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,3,0.2,1
82,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,0,6,0.2,1
83,2014-01-03,ABT,38.369999,38.639999,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.87096226153325,16.4908089533198,11.226242877015352,15.862072915266735,37.79147035294117,35.990785578571405,36.10134602884615,1,12,0.2,1
84,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,3,0.05,4
85,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,6,0.05,4
86,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,12,0.05,4
87,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,3,0.1,4
88,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,6,0.1,4
89,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,12,0.1,4
90,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,3,0.15,4
91,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,6,0.15,4
92,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,12,0.15,4
93,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,0,3,0.2,4
94,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,6,0.2,4
95,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.346436588056688,22.751684563758374,66.42403093721565,17.407647058823528,16.680357142857133,16.03432692307693,1,12,0.2,4
96,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,3,0.05,2
97,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,6,0.05,2
98,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,12,0.05,2
99,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,0,3,0.1,2
100,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,6,0.1,2
101,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,12,0.1,2
102,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,0,3,0.15,2
103,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,6,0.15,2
104,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,12,0.15,2
105,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,0,3,0.2,2
106,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,0,6,0.2,2
107,2014-01-06,ABBV,52.700001,50.389999,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.817522500811649,8.763213521985165,12.931421177306616,48.86263508789571,51.02818142424242,46.61739123913043,45.38519223557692,1,12,0.2,2
108,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,0,3,0.05,1
109,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,1,6,0.05,1
110,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,1,12,0.05,1
111,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,0,3,0.1,1
112,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,0,6,0.1,1
113,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,1,12,0.1,1
114,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,0,3,0.15,1
115,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,0,6,0.15,1
116,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,1,12,0.15,1
117,2014-01-06,ABT,39.189999,39.150002,39.110001,39.689999,10130400.0,1.5,26.10000133333333,7.880961480271112,15.147064705882356,10.34386133032696,17.320956467514435,37.825757484848495,35.9945651231884,36.121634500000006,0,3,0.2,1
